Type,Name,Country,Tags
Cultural,Stonehenge and Avebury,United Kingdom,"Archaeological Site,Ruins,Ancient"
Cultural,British Museum,United Kingdom,"Museum,Architecture,Neoclassical"
Natural,Giant's Causeway,United Kingdom,"Landform,Rock Formation"
Cultural,Tower of London,United Kingdom,"Tower,Castle,Architecture,Gothic,Fortification,Prison"
Cultural,Edinburgh Castle,United Kingdom,"Castle,Architecture,Renaissance,Fortification"
Natural,Rock of Gibraltar,United Kingdom,Landform
Cultural,Big Ben,United Kingdom,"Tower,Architecture,Gothic,Clock"
Cultural,St Paul's Cathedral,United Kingdom,"Architecture,Baroque,Cathedral,Christianity"
Cultural,Tower Bridge,United Kingdom,Bridge
Natural,White Cliffs of Dover,United Kingdom,"Cliff,Landform,Rock Formation"
Cultural,Caernarfon Castle,United Kingdom,"Fortification,Castle,Medieval"
Cultural,Conwy Castle,United Kingdom,"Fortification,Castle,Medieval"
Cultural,Westminster Palace & Abbey,United Kingdom,"Architecture,Gothic,Palace,Medieval,Abbey,Christianity"
Cultural,Canterbury Cathedral,United Kingdom,"Architecture,Romanesque,Gothic,Cathedral,Christianity"
Cultural,Heart of Neolithic Orkney,United Kingdom,"Archeological Site,Neolithic,Ruins"
Cultural,Eilean Donan Castle,United Kingdom,"Castle,Fortification"
Cultural,Holyrood Palace,United Kingdom,"Palace,Architecture,Renaissance"
Natural,Isle of Skye,United Kingdom,Island
Cultural,Scottish National Gallery,United Kingdom,"Art Gallery,Architecture,Neoclassical"
Cultural,Outer Hebrides Islands,United Kingdom,Islands
Natural,Shetland Islands,United Kingdom,"Islands,Wildlife"
Cultural,Old Course at St Andrews,United Kingdom,"Golf,Sport"
Natural,Falkland Islands,United Kingdom,"Island,Wildlife"
Cultural,Channel Islands,United Kingdom,"Island,Architecture,Colonial"
Natural,South Georgia and the South Sandwich Islands,United Kingdom,"Island,Wildlife"
Cultural,Buckingham Palace,United Kingdom,"Palace,Architecture,Neoclassical"
Natural,Land's End,United Kingdom,"Landscape,Hiking"
Natural,Lake District,United Kingdom,Lakes
Cultural,Imperial War Museum,United Kingdom,Museum
Cultural,National Gallery,United Kingdom,"Art Gallery,Architecture,Neoclassical"
Cultural,Salisbury Cathedral,United Kingdom,"Architecture,Gothic,Cathedral,Christianity"
Cultural,Stratford-upon-Avon,United Kingdom,Old Town
Cultural,Tate Modern,United Kingdom,Art Gallery
Cultural,Windsor Castle,United Kingdom,"Architecture,Gothic,Fortification,Castle"
Cultural,York Minster,United Kingdom,"Architecture,Gothic,Cathedral,Christianity"
Cultural,Cardiff Castle,United Kingdom,"Fortification,Castle,Medieval"
Natural,Snowdonia National Park,United Kingdom,"Park,Mountain,Hiking,Wildlife"
Natural,Grand Canyon,United States of America,"Park,Canyon,Landform"
Natural,Yellowstone National Park,United States of America,"Park,Hot Spring,Geyser"
Natural,Yosemite National Park,United States of America,"Park,Hiking,Mountains,Wildlife,Wilderness"
Natural,Carlsbad Caverns National Park,United States of America,"Park,Cave"
Cultural,Metropolitan Museum of Art,United States of America,"Museum,Art Gallery"
Cultural,New York Skyline,United States of America,"City,Panoramic Views,Skyline"
Cultural,San Francisco,United States of America,"City,Panoramic Views,Skyline,Port"
Cultural,Mesa Verde National Park,United States of America,"Park,Archaeological Site,Ruins"
Natural,Redwood National and State Parks,United States of America,"Park,Forest,Wildlife"
Cultural,Statue of Liberty,United States of America,"Statue,Architecture,Neoclassical"
Natural,Hawaii Volcanoes National Park,United States of America,"Park,Volcano"
Natural,Alaska Cruise,United States of America,Cruise
Natural,Bryce Canyon,United States of America,"Canyon,Landform"
Natural,Denali National Park,United States of America,"Park,Glaciers,Wilderness,Wildlife,Mountains"
Natural,Devils Tower,United States of America,"Landform,Mountains,Climbing"
Cultural,Kennedy Space Center,United States of America,Museum
Cultural,Las Vegas Strip at Night,United States of America,"Road Trip,Entertainment,Casinos"
Natural,Monument Valley,United States of America,"Valley,Landforms,Rock Formations"
Cultural,Mt Rushmore,United States of America,"Rock Art,Sculpture"
Cultural,Museum of Modern Art,United States of America,Museum
Natural,Na Pali Coast State Park,United States of America,"Park,Hiking,Landscape"
Natural,Sedona's Red Rocks,United States of America,"Landforms,Rock Formations"
Natural,Sequoia National Park,United States of America,"Park,Forest,Wildlife"
Cultural,Smithsonian,United States of America,Museum
Cultural,Times Square,United States of America,"Square,Crossroad,Entertainment"
Cultural,Headquarters of the United Nations,United States of America,"Building,Architecture,International"
Cultural,Walt Disney World,United States of America,"Entertainment,Amusement Park,Resort"
Natural,Mammoth Cave National Park,United States of America,"Park,Cave"
Cultural,Alcatraz Island,United States of America,"Fortification,Prison"
Cultural,American Museum of Natural History,United States of America,Museum
Natural,Bayou Bartholomew,United States of America,"Wildlife,Stream,Fishing"
Natural,Grand Teton,United States of America,"Mountain,Climbing"
Cultural,Solomon R. Guggenheim Museum,United States of America,"Museum,Modern Art"
Natural,Meteor Crater,United States of America,Crater
Cultural,Monterey Bay Aquarium,United States of America,"Aquarium,Marine Life"
Cultural,National Gallery of Art,United States of America,"Art Gallery,Architecture,Neoclassical"
Cultural,San Diego Zoo,United States of America,Zoo
Cultural,San Francisco Cable Car System,United States of America,Railroad
Mixed,17-Mile-Drive,United States of America,Road Trip
Natural,Waimea Canyon,United States of America,"Canyon,Landform"
Natural,Zion National Park,United States of America,"Park,Canyon,Landform,Wildlife,Wilderness"
Cultural,Bukhara Old Town,Uzbekistan,"Old Town,Architecture,Islam"
Cultural,Samarkand,Uzbekistan,"Old Town,Archaelogical Site,Architecture,Islam,Square"
Cultural,Old Town of Tashkent,Uzbekistan,Old Town
Natural,Mount Yasur,Vanuatu,Volcano
Cultural,Sistine Chapel,Vatican City,"Christianity,Chapel"
Cultural,St Peter's Basilica,Vatican City,"Architecture,Christianity,Basilica,Renaissance,Baroque"
Cultural,Vatican Museums,Vatican City,Museum
Cultural,St Peter's Square,Vatican City,Square
Natural,Angel Falls,Venezuela,Waterfalls
Natural,Canaima National Park (Gran Sabana),Venezuela,"Park,Landform,Rock Formation"
Cultural,Stilt Houses of Maracaibo,Venezuela,House
Cultural,Mérida cable car,Venezuela,Cableway
Natural,Ha Long Bay,Vietnam,"Landform,Bay,Cruise"
Cultural,"Imperial City, Hue",Vietnam,"Palace,Fortification"
Cultural,Hoi An Ancient Town,Vietnam,Old Town
Natural,Phong Nha-Ke Bang National Park,Vietnam,"Park,Landforms,Caves,Wildlife"
Natural,Hang Son Doong,Vietnam,Cave
Cultural,Cu Chi Tunnels,Vietnam,"Tunnels,Fortification"
Mixed,Rice Terraces of Sa Pa,Vietnam,"Landscape,Terraces"
Cultural,Pagoda of the Celestial Lady,Vietnam,"Architecture,Buddhism,Pagoda,Temple"
Cultural,Old City of Sana'a,Yemen,"Old Town,Archaeological Site"
Cultural,Shibam,Yemen,"Architecture,Arabic,Archaeological Site,Fortifications"
Cultural,Baraqish,Yemen,"Archaeological Site,Ancient,Ruins"
Cultural,Dar al-Hajar,Yemen,Palace
Natural,South Luangwa National Park,Zambia,"Park,Wildlife"
Natural,Victoria Falls,Zimbabwe,Waterfalls
Natural,Mana Pools National Park,Zimbabwe,"Park,Wildlife"
Cultural,Great Zimbabwe,Zimbabwe,"Archaeological Site,Ruins"
Natural,Hwange National Park,Zimbabwe,"Park,Wildlife"
